,player_id,week,targets_wk,red_zone_targets_wk,deep_targets_wk,air_yards_per_target_wk,carries_wk,red_zone_carries_wk,yards_per_carry_wk,team,targets_wk_team,carries_wk_team,target_percentage_wk,carry_percentage_wk,player_name
71,00-0031588,6,11.0,1.0,,8.454545454545455,,,,BUF,46,23,0.2391304347826087,,S.Diggs
72,00-0034972,1,1.0,,,-3.0,1.0,,2.0,MIN,47,22,0.02127659574468085,0.045454545454545456,A.Mattison
73,00-0033839,1,1.0,,,7.0,,,,MIN,47,22,0.02127659574468085,,D.Westbrook
74,00-0034766,1,2.0,,,6.5,,,,MIN,47,22,0.0425531914893617,,C.Herndon
75,00-0032918,1,2.0,,,2.5,,,,MIN,47,22,0.0425531914893617,,C.Ham
76,00-0032104,1,2.0,,,1.0,1.0,,4.0,MIN,47,22,0.0425531914893617,0.045454545454545456,A.Abdullah
77,00-0034270,1,4.0,,,7.75,,,,MIN,47,22,0.0851063829787234,,T.Conklin
78,00-0033893,1,7.0,,,-1.2857142857142858,20.0,1.0,3.05,MIN,47,22,0.14893617021276595,0.9090909090909091,D.Cook
79,00-0036322,1,9.0,,1.0,12.555555555555555,,,,MIN,47,22,0.19148936170212766,,J.Jefferson
80,00-0036345,1,9.0,,,7.888888888888889,,,,MIN,47,22,0.19148936170212766,,K.Osborn
81,00-0030035,1,10.0,1.0,,7.3,,,,MIN,47,22,0.2127659574468085,,A.Thielen
82,00-0034854,7,1.0,,,-1.0,,,,DET,32,28,0.03125,,K.Hodge
83,00-0029738,7,1.0,,,2.0,,,,DET,32,28,0.03125,,D.Fells
84,00-0036011,7,1.0,,,9.0,,,,DET,32,28,0.03125,,B.Price
85,00-0032626,7,2.0,,,10.0,,,,DET,32,28,0.0625,,G.Allison
